time,section_raw_DOF1,section_baseline_DOF1,section_relative_DOF1,inertia_raw_DOF1,inertia_baseline_DOF1,inertia_relative_DOF1,dynamic_DOF1,section_raw_DOF2,section_baseline_DOF2,section_relative_DOF2,inertia_raw_DOF2,inertia_baseline_DOF2,inertia_relative_DOF2,dynamic_DOF2,tower_base_shear
0.7100000000000004,1875030.7098727655,32443.81251679687,1842586.8973559686,-183451.77885763385,-159869.7557506284,-23582.023107005458,1866168.920462974,-2335510377.0677147,-2335510376.821715,-0.24599981307983398,-0.00019668890891605395,0.0,-0.00019668890891605395,-0.24580312417091793,1866168.920462974
0.7200000000000004,1543158.8843752844,32443.81251679687,1510715.0718584876,1046313.9671161949,-159869.7557506284,1206183.7228668232,304531.34899166436,-2335510377.0900173,-2335510376.821715,-0.26830244064331055,-0.00017858040371879214,0.0,-0.00017858040371879214,-0.2681238602395918,304531.34899166436
0.7300000000000004,1599863.9264360876,32443.81251679687,1567420.1139192907,440662.76151641377,-159869.7557506284,600532.5172670422,966887.5966522485,-2335510377.1133814,-2335510376.821715,-0.29166650772094727,-0.00016147031310650983,0.0,-0.00016147031310650983,-0.29150503740784073,966887.5966522485
0.7400000000000004,1935101.1040155473,32443.81251679687,1902657.2914987504,-1115162.2258508725,-159869.7557506284,-955292.470100244,2857949.7615989945,-2335510377.13773,-2335510376.821715,-0.31601524353027344,-0.00013378223502516495,0.0,-0.00013378223502516495,-0.3158814612952483,2857949.7615989945
0.7500000000000004,2105151.9001135286,32443.81251679687,2072708.0875967317,-1657152.7388813235,-159869.7557506284,-1497282.983130695,3569991.0707274266,-2335510377.1629715,-2335510376.821715,-0.34125661849975586,-9.930217632392324e-05,0.0,-9.930217632392324e-05,-0.34115731632343194,3569991.0707274266
0.7600000000000005,2844307.8810810274,32443.81251679687,2811864.0685642306,-3756078.554244079,-159869.7557506284,-3596208.798493451,6408072.867057681,-2335510377.189004,-2335510376.821715,-0.36728906631469727,-7.155900248817515e-05,0.0,-7.155900248817515e-05,-0.3672175073122091,6408072.867057681
0.7700000000000005,2852486.8243031576,32443.81251679687,2820043.0117863608,-2959956.4563807165,-159869.7557506284,-2800086.7006300883,5620129.71241645,-2335510377.2157598,-2335510376.821715,-0.3940448760986328,-5.853478851659821e-05,0.0,-5.853478851659821e-05,-0.39398634131011623,5620129.71241645
0.7800000000000005,2671782.539659691,32443.81251679687,2639338.727142894,-1076492.5024674141,-159869.7557506284,-916622.7467167857,3555961.47385968,-2335510377.243255,-2335510376.821715,-0.4215402603149414,-6.550676162855873e-05,0.0,-6.550676162855873e-05,-0.4214747535533129,3555961.47385968
0.7900000000000005,2137592.640939191,32443.81251679687,2105148.828422394,1229370.31318517,-159869.7557506284,1389240.0689357985,715908.7594865956,-2335510377.271604,-2335510376.821715,-0.4498891830444336,-8.408847496529925e-05,0.0,-8.408847496529925e-05,-0.44980509456946827,715908.7594865956
0.8000000000000005,2658284.689233144,32443.81251679687,2625840.876716347,-577663.2718041395,-159869.7557506284,-417793.51605351106,3043634.3927698582,-2335510377.3009853,-2335510376.821715,-0.47927045822143555,-8.975433943894662e-05,0.0,-8.975433943894662e-05,-0.47918070388199663,3043634.3927698582
0.8100000000000005,2435751.924625306,32443.81251679687,2403308.112108509,-187800.38628453063,-159869.7557506284,-27930.630533902236,2431238.7426424115,-2335510377.331547,-2335510376.821715,-0.5098319053649902,-7.172471100974631e-05,0.0,-7.172471100974631e-05,-0.5097601806539804,2431238.7426424115
0.8200000000000005,2504419.4142470937,32443.81251679687,2471975.601730297,-88482.5655106713,-159869.7557506284,71387.1902399571,2400588.41149034,-2335510377.3633537,-2335510376.821715,-0.5416388511657715,-4.455069430137071e-05,0.0,-4.455069430137071e-05,-0.5415943004714701,2400588.41149034
0.8300000000000005,2781886.7839900325,32443.81251679687,2749442.9714732356,-1366843.09380948,-159869.7557506284,-1206973.3380588517,3956416.3095320873,-2335510377.3964014,-2335510376.821715,-0.5746865272521973,-1.8676397641637088e-05,0.0,-1.8676397641637088e-05,-0.5746678508545556,3956416.3095320873
0.8400000000000005,3153256.2277140887,32443.81251679687,3120812.415197292,-2285933.8144881995,-159869.7557506284,-2126064.0587375714,5246876.473934863,-2335510377.4306574,-2335510376.821715,-0.6089425086975098,8.345256184871808e-06,0.0,8.345256184871808e-06,-0.6089508539536946,5246876.473934863
0.8500000000000005,3352259.9335781266,32443.81251679687,3319816.1210613297,-2538334.6918326598,-159869.7557506284,-2378464.9360820316,5698281.057143361,-2335510377.466091,-2335510376.821715,-0.644376277923584,2.5256261019845905e-05,0.0,2.5256261019845905e-05,-0.6444015341846039,5698281.057143361
0.8600000000000005,3440022.3111607344,32443.81251679687,3407578.4986439375,-1951957.518241373,-159869.7557506284,-1792087.7624907445,5199666.261134682,-2335510377.502713,-2335510376.821715,-0.6809983253479004,2.0662816919148064e-05,0.0,2.0662816919148064e-05,-0.6810189881648195,5199666.261134682
0.8700000000000006,4192759.1095402236,32443.81251679687,4160315.2970234267,-3934363.308598076,-159869.7557506284,-3774493.552847448,7934808.849870875,-2335510377.5406218,-2335510376.821715,-0.7189068794250488,-6.449947379527643e-07,0.0,-6.449947379527643e-07,-0.7189062344303109,7934808.849870875
0.8800000000000006,4685821.89361346,32443.81251679687,4653378.081096662,-4615505.512047222,-159869.7557506284,-4455635.756296594,9109013.837393256,-2335510377.5800037,-2335510376.821715,-0.7582888603210449,-3.5158514715083466e-05,0.0,-3.5158514715083466e-05,-0.7582537018063298,9109013.837393256
0.8900000000000006,4615544.229786756,32443.81251679687,4583100.41726996,-2877798.0353514096,-159869.7557506284,-2717928.2796007814,7301028.696870741,-2335510377.6211395,-2335510376.821715,-0.7994246482849121,-9.66336906575993e-05,0.0,-9.66336906575993e-05,-0.7993280145942545,7301028.696870741
0.9000000000000006,4944727.294829769,32443.81251679687,4912283.482312972,-2753666.6627881736,-159869.7557506284,-2593796.9070375455,7506080.389350517,-2335510377.6644287,-2335510376.821715,-0.8427138328552246,-0.00018885800293691468,0.0,-0.00018885800293691468,-0.8425249748522877,7506080.389350517
0.9100000000000006,4814941.33178457,32443.81251679687,4782497.519267773,-1529689.5230781997,-159869.7557506284,-1369819.7673275713,6152317.286595345,-2335510377.71039,-2335510376.821715,-0.8886752128601074,-0.000286271210560074,0.0,-0.000286271210560074,-0.8883889416495474,6152317.286595345
