time,displacement,displacement_increment,absolute_displacement,acceleration,tower_base_moment,tower_base_shear,damper_force,damper_stroke,ground_displacement,ground_velocity,ground_acceleration
24.480000000001027,-0.06948662258262198,-0.06948662258262198,-0.36078160761492944,0.025639675366197694,1272536484.799096,-15407320.396322701,432807.12701828405,0.060827100740432766,0.053282690595001236,0.07128471700000014,-0.0402046
24.49000000000103,-0.06985174456581575,-0.06985174456581575,-0.36114686890753944,0.10983396016298204,1272951124.4563253,-12101017.998494674,445661.75474507187,0.061109374178284936,0.053991296670001236,0.07043649800000014,-0.1294392
24.50000000000103,-0.07021728328594445,-0.07021728328594445,-0.3615125491954049,-0.2620058575996107,1278783409.1799054,-21708652.102460507,456449.0434867308,0.06140117799846759,0.054698358300001235,0.07097582800000014,0.2373052
24.510000000001032,-0.07060387313057889,-0.07060387313057889,-0.3618992826483388,-0.4279348704799101,1292821453.6241055,-27787053.959975697,467382.7781203656,0.06170186732036595,0.055424026815001234,0.07415787500000015,0.3991042
24.520000000001033,-0.07102871811224237,-0.07102871811224237,-0.36232427306731,-0.41240304293027397,1314516701.310319,-28262876.825440697,484089.85699072224,0.06201408350962895,0.056185119505001234,0.07806066300000016,0.3814534
24.530000000001035,-0.07149530062189913,-0.07149530062189913,-0.36279100263952346,-0.41682517334905955,1341519377.659955,-29203107.42002824,507387.7543671853,0.062343060482757895,0.056984872350001235,0.08188990600000015,0.3843952
24.540000000001037,-0.07200191812031459,-0.07200191812031459,-0.36329776862538354,-0.3554031562363438,1370711226.2732072,-28364026.920735195,534405.2727936708,0.06269321558149873,0.057821422210001236,0.08542006600000016,0.3216368
24.550000000001038,-0.07254723720770798,-0.07254723720770798,-0.3638432374174373,-0.42048076192777917,1403180785.936739,-30652830.06540267,563735.3509566083,0.06306732463463374,0.058693298185001234,0.08895512900000016,0.3853758
24.56000000000104,-0.07313268584516969,-0.07313268584516969,-0.36442883676321347,-0.4088574688018744,1437760530.9357302,-31528943.8841932,594523.4586771189,0.06346729516907382,0.05960179957000124,0.09274514800000017,0.372628
24.57000000000104,-0.0737516100257474,-0.0737516100257474,-0.3650479124360317,-0.10085890486111054,1466934064.0799475,-23412800.188887358,627012.5496518676,0.06389484213493699,0.06054016022500124,0.09492698300000016,0.063739
24.580000000001043,-0.07438749033410291,-0.07438749033410291,-0.36568382710517,-0.0629876197039442,1490515684.432732,-21406601.75402102,658730.2174883117,0.06435064806135729,0.06149163640500124,0.09536825300000015,0.024515
24.590000000001044,-0.07503230027290958,-0.07503230027290958,-0.36632863704397667,-0.12898415856130213,1510294291.7528417,-23185148.195682023,685958.2610936278,0.06483259709154549,0.06244813816000124,0.09593209800000015,0.088254
