Time,Node36_UX,Node107_UX
6.62,0.364276841,-0.214773782
6.63,0.36461243,-0.214840631
6.64,0.364942692,-0.214917452
6.65,0.36528512,-0.214986509
6.66,0.365623068,-0.215064207
6.67,0.365937285,-0.215169554
6.68,0.36624271,-0.215287327
6.69,0.366564491,-0.215392099
6.7,0.366902888,-0.215483366
6.71,0.367232322,-0.215586479
6.72,0.36752689,-0.215727067
6.73,0.367777357,-0.215914038
6.74,0.367974788,-0.216155992
6.75,0.368106178,-0.216465629
6.76,0.368165518,-0.216848694
6.77,0.368147325,-0.217310467
6.78,0.368055781,-0.217846647
6.79,0.367910333,-0.218437805
6.8,0.367740451,-0.219054927
6.81,0.367578286,-0.219666344
6.82,0.367440823,-0.220254573
6.83,0.36735348,-0.220793236
6.84,0.367353226,-0.221244775
6.85,0.367462541,-0.221586248
6.86,0.36768123,-0.221817353
6.87,0.367985485,-0.221961361
6.88,0.368346082,-0.222046777
6.89,0.368740578,-0.222094794
6.9,0.369150638,-0.222123288
6.91,0.369548877,-0.222160364
6.92,0.369920992,-0.222220538
6.93,0.370292452,-0.222278189
6.94,0.370691314,-0.222305134
6.95,0.371113118,-0.222305672
6.96,0.371552875,-0.222284679
6.97,0.372032315,-0.222220332
6.98,0.37256368,-0.222100385
6.99,0.373131841,-0.2219403
7,0.373704281,-0.221773157
7.01,0.37424209,-0.221637626
7.02,0.374734775,-0.221543308
7.03,0.375218793,-0.221453223
7.04,0.375731929,-0.221329335
7.05,0.376270866,-0.221174777
7.06,0.376823392,-0.221001583
7.07,0.377393578,-0.22080546
7.08,0.377975821,-0.220591806
7.09,0.378564943,-0.220365603
7.1,0.379170991,-0.22011662
7.11,0.379791261,-0.219847387
7.12,0.380411676,-0.219571823
7.13,0.38103576,-0.219286242
7.14,0.381674188,-0.218979823
7.15,0.382319834,-0.218659557
7.16,0.382967875,-0.218330142
7.17,0.383624104,-0.217985664
7.18,0.384284547,-0.217629986
7.19,0.3849368,-0.217275413
7.2,0.385576025,-0.216926685
7.21,0.386191367,-0.216594565
7.22,0.386763629,-0.216298169
7.23,0.38729341,-0.216036819
7.24,0.387779972,-0.215811182
7.25,0.388217203,-0.215627309
7.26,0.38860626,-0.215483989
7.27,0.38893669,-0.215391627
7.28,0.389197438,-0.215361237
7.29,0.389390645,-0.215390638
7.3,0.389520239,-0.215475869
7.31,0.389594474,-0.215608649
7.32,0.389634914,-0.215767389
7.33,0.389665882,-0.215927752
7.34,0.389698237,-0.216078881
7.35,0.389726385,-0.216226384
7.36,0.389748151,-0.216372457
7.37,0.389781797,-0.216498861
7.38,0.38983108,-0.21660188
7.39,0.389881964,-0.216695619
7.4,0.389947787,-0.2167668
7.41,0.390058156,-0.216785887
7.42,0.390230894,-0.216735168
7.43,0.390472267,-0.216608487
7.44,0.390786015,-0.216402162
7.45,0.391172068,-0.216116296
7.46,0.391614799,-0.215766544
7.47,0.392083852,-0.215383303
7.48,0.392562458,-0.214983393
7.49,0.39304626,-0.21457123
7.5,0.393515323,-0.214166817
7.51,0.393951976,-0.2137879
7.52,0.394345421,-0.213445356
7.53,0.394684397,-0.213150531
7.54,0.394981964,-0.212890457
7.55,0.395262816,-0.212640534
7.56,0.39552953,-0.212398285
7.57,0.395761662,-0.212184253
7.58,0.395950193,-0.212007564
7.59,0.39610404,-0.211859412
7.6,0.39622111,-0.211742005
7.61,0.396296519,-0.211660347
7.62,0.396341292,-0.211603539
7.63,0.396374254,-0.211552881
7.64,0.3964161,-0.21148781
7.65,0.39648191,-0.211393364
7.66,0.39656967,-0.211271675
7.67,0.396665626,-0.211136603
7.68,0.396752609,-0.211005439
7.69,0.396814801,-0.210894129
