Time,Damp2000_UX,Damp2010_UX,Damp3000_UX,Damp3010_UX
4.59,3.980619894E-02,3.981754263E-02,-3.459478704E-02,-3.460282495E-02
4.6,3.98929026E-02,3.990433474E-02,-3.440491217E-02,-3.441235204E-02
4.61,3.997942491E-02,3.999091467E-02,-3.422599272E-02,-3.423288238E-02
4.62,4.005945843E-02,4.007089529E-02,-3.406421114E-02,-3.407067983E-02
4.63,4.013068072E-02,4.014197501E-02,-3.392175786E-02,-3.392791608E-02
4.64,4.019200227E-02,4.020307222E-02,-3.379958463E-02,-3.380553674E-02
4.65,4.024625167E-02,4.02570305E-02,-3.369471872E-02,-3.37005555E-02
4.66,4.028942231E-02,4.029987313E-02,-3.361101495E-02,-3.361679839E-02
4.67,4.031820586E-02,4.032825985E-02,-3.355162266E-02,-3.355744751E-02
4.68,4.034348561E-02,4.035308461E-02,-3.350549279E-02,-3.351144374E-02
4.69,4.036216905E-02,4.037134399E-02,-3.347554414E-02,-3.348161716E-02
4.7,4.035320448E-02,4.036190766E-02,-3.348264647E-02,-3.348891628E-02
4.71,4.030887913E-02,4.031692961E-02,-3.353432876E-02,-3.35410035E-02
4.72,4.022561017E-02,4.023285768E-02,-3.36339925E-02,-3.364124958E-02
4.73,4.010677967E-02,4.011308447E-02,-3.377807822E-02,-3.378608388E-02
4.74,3.997399769E-02,3.99792868E-02,-3.394480738E-02,-3.395366007E-02
4.75,3.984530004E-02,3.984967171E-02,-3.411598611E-02,-3.412561134E-02
4.76,3.973168002E-02,3.973528829E-02,-3.428047727E-02,-3.42907423E-02
4.77,3.963762803E-02,3.964064539E-02,-3.443369295E-02,-3.444444412E-02
4.78,3.955972012E-02,3.956230422E-02,-3.457977681E-02,-3.459091182E-02
4.79,3.949439454E-02,3.949664426E-02,-3.472239039E-02,-3.473380263E-02
4.8,3.944156989E-02,3.94435657E-02,-3.486019033E-02,-3.487170755E-02
4.81,3.941049197E-02,3.94123237E-02,-3.498325802E-02,-3.499477538E-02
4.82,3.941140259E-02,3.941322542E-02,-3.508117068E-02,-3.509255197E-02
4.83,3.944834903E-02,3.945035255E-02,-3.514950321E-02,-3.516056914E-02
4.84,3.952012305E-02,3.952247533E-02,-3.518916191E-02,-3.519976357E-02
4.85,3.962153233E-02,3.962436756E-02,-3.520499442E-02,-3.521501476E-02
4.86,3.974833133E-02,3.975173395E-02,-3.520092555E-02,-3.52103005E-02
