Time,Tower_FX,Tower_FY,Tower_MY,Tower_MZ
5.71,1459.39927,30412173.2,3.769289786E-04,6765527.86
5.72,58273.5147,30405954.1,4.551560546E-04,5666022.94
5.73,-43984.8623,30399617.5,4.203609619E-04,6016441.04
5.74,-152650.536,30393156.5,3.456887352E-04,6675630.97
5.75,-739523.307,30386549.2,-4.709564861E-05,12429472.2
5.76,-493522.599,30379841.4,-2.714940285E-05,11293836.6
5.77,-625266.435,30373010.6,-1.902937326E-04,13343883.2
5.78,-476607.09,30366036.8,-2.026363582E-04,12777969.4
5.79,-634858.369,30358929,-3.653769008E-04,14923905.6
5.8,-605962.087,30351672.9,-4.496188345E-04,15509231.4
5.81,-465950.506,30344300,-4.897884927E-04,14888914.5
5.82,-540178.761,30336782.7,-6.255829626E-04,15987153.8
5.83,-170240.393,30329171.5,-6.157075245E-04,12755474.4
5.84,4226.50445,30321467.2,-6.937161307E-04,10530462.8
5.85,161625.54,30313642.7,-8.077395593E-04,7962420.69
5.86,88919.1673,30305682.6,-9.978479589E-04,7332911.91
5.87,300166.832,30297604.5,-1.158142039E-03,4054059.84
5.88,-308202.601,30289350.4,-1.393338121E-03,8525669.13
5.89,-72289.2097,30281018.6,-1.551817995E-03,6068930.79
5.9,29173.9273,30272651.1,-1.720458373E-03,4485406.05
5.91,127906.575,30264165.2,-1.905188329E-03,2607349.32
5.92,129520.65,30255588.6,-2.066785519E-03,1527348.12
5.93,408890.749,30246929.2,-2.303531465E-03,-2291662.91
5.94,420983.956,30238168,-2.463598349E-03,-4058393.71
5.95,365070.591,30229288.1,-2.547195309E-03,-5120159.02
5.96,366498.645,30220338.5,-2.587018295E-03,-6490664.57
5.97,473182.315,30211329.2,-2.645920847E-03,-8821268.23
5.98,150744.548,30202249.1,-2.311355843E-03,-7019054.22
5.99,-18047.0578,30193143.7,-1.922154804E-03,-5850690.25
6,-211854.96,30184045.2,-1.367421272E-03,-3869626.89
6.01,-33513.4198,30174928.8,-1.14975032E-03,-5088221.67
6.02,-60382.565,30165755.8,-7.556351668E-04,-4641041.7
6.03,-322352.776,30156527.7,-2.054165411E-05,-1759545.14
6.04,-132126.773,30147261,1.544399261E-04,-2694522.36
6.05,-60191.5531,30137948.1,3.800128485E-04,-2885289.49
6.06,-77046.5104,30128604.4,6.681105873E-04,-2405208.74
6.07,405633.411,30119234,-2.166450429E-05,-6868041.51
6.08,142741.357,30109867.9,4.642544169E-04,-5046631.57
